program,language,question,answer
MMT,German,"Kann ich die verbleibenden 9 ECTS, die sich aus einem Kurs im Bereich Innovation and Entrepreneurship mit 6 ECTS und einem weiteren Kurs im gleichen Fachbereich mit 3 ECTS zusammensetzen, anrechnen lassen?","Grundsätzlich hast du die Möglichkeit die Module (auf Masterniveau), die nicht Teil deines Bachelors waren auf Anerkennung prüfen zu lassen. Sollte im MMT ein Modul vorkommen, dass mit dem von dir erbrachten Modul eine vermeintliche Entsprechung aufweist, gibt es die Möglichkeit der 1:1 Anerkennung. Melden dich am Besten direkt bei den Lehrstühlen mit dem zugehörigen Formular. Sollte es keine Entsprechung im Studiengang geben, schick am Besten neben dem Leistungsnachweis auch die Modulbeschreibung mit."
MMT,German,Ist diese Sorge berechtigt oder gilt der einmalige Wiederholungsversuch der Thesis auch wenn man diese im 6ten Master Semester schreibt?,"Laut APSO §10 Abs. 6 hättest du auch nach dem 6. Fachsemester noch ein Kulanzsemester Zeit dein Studium abzuschließen, sofern die vorherigen Credithürden (3.-5. Semester) eingehalten wurden."
MMT,German,"Ist es im Master Management and Technology erlaubt, seine Masterarbeit am Lehrstuhl für Computational Modeling and Simulation zu schreiben?","Die Master's Thesis wird über ein Forschungsthema oder Projekt mit wirtschaftswissenschaftlichem Schwerpunkt, häufig an einer Schnittstelle zu den Ingenieur- bzw. Naturwissenschaften, angefertigt. Die Bearbeitung des Themas und Bewertung deiner Thesis erfolgt immer in Zusammenarbeit mit einer/m Professor/in bzw. Affiliate Member der TUM School of Management oder einer/m Professor/in anderer Schools, der/die im Studiengang Master Management and Technology lehren, oft auch in Kooperation mit der Industrie oder einem Forschungsinstitut. Dein/e Prüfer/in kann zeitgleich dein/e Betreuer/in für die Abschlussarbeit sein, aber für die Betreuung kommen auch prinzipiell auch andere Personen, wie z.B. wissenschaftliche Mitarbeiter/innen eines Lehrstuhls, infrage."
MMT,German,"Kann ich einen Kurs, den ich bereits im Bachelor abgelegt habe, im Rahmen meines Masterstudiums in Management and Technology noch einmal belegen und mir die Klausur anrechnen lassen?","Sobald ein Kurs bereits in die Note deines Bachelorabschlusses gezählt hat, kann dieser nicht mehr für deinen Masterabschluss herangezogen werden."
MMT,English,What does the warning under my curriculum section regarding the language requirement mean?,"At the end of the second semester, you must submit a proof of proficiency in German. If you already have a language certificate or another proof of proficiency in German, you can submit it directly to our grade management team."
MMT,German,Kann ich beide Advanced Seminare im Bereich Innovation & Entrepreneurship belegen und diese jeweils einzeln in meine Management Spezialisierung anrechnen?,"Ja, du kannst beide Seminare belegen und die Prüfung darin ablegen, da beide in deinem Studienbaum modelliert sind und auch keine Hinweise im Modulhandbuch gegen ein solches Vorgehen sprechen. Zudem hast du die Zusage der Modulverantwortlichen."
FIM,English,Can I still select the FIM exclusive modules after facing technical issues with the module selection on TUMonline?,"Yes, you should now be able to see the registration for the three courses in TUMonline."
FIM,English,Why did I receive an email saying that I am not registered for the Fit for TUMorrow Day 2023 even though I have already registered?,"You were not on the Anmeldeliste (registration list), so you were asked to register again and provide your registration confirmation with the details of the workshops and company interviews you desire."
FIM,German,Kann ich ECTS Kurse aus Quant Finance (Investment Risk Management & Trading Seminar) durch E-Lab ersetzen?,"Wenn Studierende mehr ECTS in einem bestimmten Bereich erbracht haben, als gefordert, werden automatisch die besten Leistungen in den Bereich gezählt. Die Leistungen, die dann nicht in dem Bereich aufgeführt werden, werden als Zusatzleitung auf dem Zeugnis aufgeführt. Somit gibt es also nicht die Möglichkeit, dass du dir die Fächer selber auswählst, die in einem bestimmten Bereich aufgeführt werden."
FIM,English,Do I need to take a 6 ETCs module course from an area to meet the requirement or can a 3 ETCs module course suffice?,You should select at least one module from 3 out of 4 areas. This is independent of the ECTS.
FIM,English,"Is there anything possible to do about the fact that I, as a student from the Management and Technology faculty, missed the registration date for the Trading Seminar, but would really love to attend it?","Unfortunately, this module is offered exclusively for students of the Master in Finance and Information Management and therefore no others can take this module."
FIM,German,Wann wird das Venture Capital Lab angeboten und sind zusätzliche Module mit Beginn des WS bzw. ab dem SS in FIM geplant?,"Das Modul Venture Capital Lab wird im nächsten WS Semester nicht angeboten und es wurden keine Informationen zu den Hintergründen geliefert. Ab dem nächsten Semester wird ein weiteres Modul angeboten: Coding Lab: Deep Reinforcement Learning (FIM) (MGT001400). Das Modul Business Plan: Advanced Seminar wird dieses Wintersemester nicht angeboten und es ist nicht geplant, dieses Modul weiterhin anzubieten."
MiM Heilbronn,English,"Is there even a point in me sending the official document needed for the credit recognition process this late, and would there be a possibility to speed the assessment up due to the proximity of the exam?","After submitting your documents, credit recognition does generally take about 6-8 weeks. Sometimes the process can be faster, but this depends on various factors, such as the number of credit recognitions being processed at that time, the availability of the responsible professor, and if additional documents are required for clarification."
MiM Heilbronn,English,"Is there a deadline to apply for credit transfer from my bachelors for one of the mandatory subjects or not? If yes, then what is the deadline?",You can apply for the recognition of courses until the end of this semester. Please keep the deadline in mind.
MiM Heilbronn,English,Can I register for subjects and get my study plan even though I don't have the matriculation certificate yet?,"Yes, you can only register for courses (and exams) once you are fully enrolled."
MiM Heilbronn,English,"Can I register for courses on TUMonline if I am not fully enrolled yet, and what should I do since my enrollment has not been completed and I cannot register for the courses scheduled for this semester?","As long as you are not fully enrolled, you are not able to register for courses on TUMonline. You are welcome to attend the welcome day and lectures starting next week so you don’t miss out on any of the content. You need to make sure that you are fully enrolled before the enrolment deadline."
MiM Heilbronn,German,"Ist eine Anmeldung zu den Kursen in TUM Online ausreichend, um an den Lehrveranstaltungen teilnehmen und auf die Lehrinhalte zugreifen zu können?","Wenn du dich für die Lehrveranstaltungen in TUMOnline anmeldest, hast du danach automatisch Zugriff auf die entsprechenden Kurse in Moodle. Dort findest du für jede Veranstaltung die entsprechenden Inhalte, die für die jeweilige Veranstaltung zur Verfügung gestellt werden. Je nach Lehrstuhl kann sich der Umfang der hochgeladenen Unterlagen unterscheiden."
MiM Heilbronn,English,"Will there be an orientation session for MiM students planning to take the thesis next semester, summer term 2024?","We will offer an info session concerning the thesis in the new year – during the session, I will explain the process, and we will publish the topics for the summer semester after the session."
MiM Heilbronn,English,What should I be aware of if I decide to join TUM later?,"If you decide to join TUM later, it is your responsibility to catch up on the content provided through lectures, seminars, and exercises, as the university will not show consideration for your late arrival. You are also responsible for keeping up with the study progress, which includes achieving a minimum number of credits by the end of specific semesters. Failure to meet these deadlines can lead to deregistration. Additionally, please ensure to follow proper email etiquette when communicating with professors and administration."
MiM Heilbronn,English,"Can you explain the process and implications of postponing my education, and do I have to reapply from zero if I postpone it?","You will have to reapply for the corresponding semester via TUMonline. We recommend applying as early as possible to prepare for your trip to Germany. You do not necessarily have to start everything from zero, but you will need to follow the official deferral procedures and deadlines provided on our website."
BMT,English,"Could you please provide me with guidance on how to effectively connect with potential supervisors and ensure a timely response? Additionally, if there are any specific recommendations or suggestions, I would be grateful for your insights.","In principle, you can apply to all chairs of the TUM School of Management, Affiliate Members and also to other professors / chairs outside the TUM School of Management who teach at least one module in your study program. You can find contact information, requirements for thesis supervision, and information about topics for each chair at the TUM School of Management by following the provided link. To give you more specific advice, please send me an overview of exactly which topics and in which period you have applied to which chairs / supervisors, and examples of your correspondence. We can then schedule a personal consultation and talk about next steps."
BMT,English,"If I successfully accumulate all the required credits, will I be automatically considered as having graduated, or is there an additional application process I need to complete?","Students are automatically exmatriculated at the end of the semester in which their graduation documents are issued - provided they have re-registered for that semester. Exmatriculation takes place by law; an application is not necessary in this case. Our Grade Management Team will get in touch with you once you collect the necessary credits to complete your degree, and they will confirm the next steps with you."
BMT,German,"Wann und auf welchem Wege erfährt man, ob das „checken“ der Dokumente für das Modul ""International Experience"" erfolgreich war?","Die Anträge werden laufend bearbeitet, es gibt noch genügend Zeit bis zur Klausur im März, und es ist nicht nötig, bis zum 28.02. zu warten. Es wird darum gebeten, von individuellen Nachfragen zum Bearbeitungsstand abzusehen und etwas Geduld zu haben."
BMT,English,Could you please provide insights about the necessary procedures involved in changing my specialization and is it a good idea to switch at this point?,"A later change of specialization might be possible under certain circumstances. To apply, please send a signed application to the Examination Board of the TUM School of Management, in which you give convincing reasons for why you want to change specializations. Please also specify if you would like to request a transfer of credits to another area of your curriculum support in case your application is accepted."
BMT,English,Would it be possible for me to enroll for the next semester at TUM SoM even though I have basically finished the programme and am just waiting for the grades and my final Bachelor certificate?,"Students are automatically exmatriculated at the end of the semester in which their graduation documents are issued, provided they have re-registered for that semester. If you complete all examinations by the end of the current semester and do not re-register for the coming semester, you will be exmatriculated at the end of the current semester. However, if you register for the next semester and your documents are not issued until then, you will be exmatriculated at the end of that semester. Furthermore, you can always be exmatriculated on the exact day using the appropriate form in your TUMonline account."
MCS,German,"Sollte man sich für mehrere Fächer anmelden (also mehr als die 12 ECTS, die man dazu wählen kann), damit man sicher die 30 ECTS im ersten Semester belegt? Kann man auch Fächer aus unterschiedlichen Schwerpunkten wählen? Also aus Management & Marketing sowie Economics & Econometrics?","Du kannst dich für alle Seminare anmelden, die im kommenden Wintersemester angeboten werden. Sobald du einen Schwerpunkt in Management ausgewählt hast, kannst du nur noch Module aus diesem gewählten Schwerpunkt wählen. Du kannst jedoch innerhalb der Electives in Consumer Science and Technology aus allen anderen Schwerpunkten Modulen wählen und sogar noch weiteren Bereichen, die dort gelistet sind."
MCS,English,"Could you please provide guidance on the credit transfer process, including any necessary documentation and deadlines?","It is possible to transfer completed courses from the MMT study program into the MCS study program, if the courses are included in both curricula. You should compare if the courses you completed within the MMT program are included in your personal Curriculum Support of the MCS program in TUMonline. The credit transfer process details can be found in the document “Recognition of TUM courses, which were attended before starting and during your Master’s at TUM School of Management” on page 2 in the Download-Center of our website under “Master in Consumer Science” --> “Credit Transfer”. However, a transfer of courses is only possible after you are fully matriculated in the MCS program."
MCS,German,"Kann der Kurs ""Energy Markets I"" (WI000946) trotz der freien Anmeldung und der Tatsache, dass er im Curriculum Support nicht aufgeführt wird, als Elective im Master in Consumer Science angerechnet werden?","Du kannst das Modul ""Energy Markets I"" (WI000946) in die Electives Consumer Science & Technology einbringen. Nach erfolgreichem Bestehen der Prüfung soll sich der Studierende an das Grade Management Team wenden, um das Modul dem Electivebereich zuordnen zu lassen, wobei diese E-Mail als Bestätigung beigelegt werden sollte."
MCS,English,"Is it mandatory for students to select one of the available specializations in the Master in Consumer Science at TUM, or is there flexibility in opting out of a specialization altogether, and when is the ideal timing for selecting a specialization?","In the Master in Consumer Science you have to choose one of the four options that are listed within the node “Specialization in Management”, and you have to achieve 24 ECTS credits within your chosen option. One of the options is “No management specialization chosen” which means that you can choose from all listed modules below, including Advanced Seminars. There is no set deadline for choosing a specialization, and it is set by clicking on the small box behind it or by registering for the first exam within that specialization. You can start with Advanced Seminars from the second semester on, and there is flexibility to move completed courses later, after you have chosen your Specialization in Management. However, only courses that are listed in your chosen specialization can be moved from the Electives."
MCS,English,"If I take the course successfully, it will be listed on a separate sheet in my transcript, but without the credits shown. I will still have to take the exam to make this happen, right? As a Master's student, if I take the Bachelor course with the option of ""free registration,"" am I still allowed to take the exam for this course?","You understood correctly. The course will only be shown on a separate sheet on your transcript if you passed the exam of the course. You are allowed to take the exam of the course as a free subject (except if the course has limited capacities, but then you wouldn´t be able to register anymore at this point)."
MCS,English,"Can accommodations be made to enable participation in some of the Master in Consumer Science courses online due to visa processing issues caused by the outbreak of the war in my home country, and what are the available options if it's not possible?","Late arrival during studies is strongly advised against as it is likely to cause problems with study progress monitoring, and taking a leave of absence is not possible in your situation. You may defer your studies by following the information on reserving your spot. If you decide to start your studies in the current semester, you could complete modules from the Electives in Consumer Science and Technology online and select a Specialization in Management later. Online courses can be considered, and other TUM courses at the Master’s level not included in the MCS curriculum may also be recognized towards the Electives if they are held online. You must plan your studies and catch up on lost work on your own if joining later."
MCS,English,"If I gain those 36 credits this semester, will I automatically be de-registered from my study program? Would it be possible, even already having all the credits achieved, to register for another semester to take one more subject to ""cover"" a bad grade received?","Students are automatically exmatriculated at the end of the semester in which their graduation documents are issued - provided they have re-registered for that semester. Exmatriculation takes place by law; an application is not necessary for exmatriculation in this case. If you want to stay enrolled for another semester for grade improvement, please inform our Grade Management team about it."
